N_ppm,P_ppm,K_ppm,soil_moisture,soil_ph,temperature,humidity,rainfall,soil_type,crop,fertilizer,irrigation_mm
55.88,51.69,39.63,65.39,6.22,30.75,75.07,202.15,Loamy,maize,None,0.0
,30.57,29.84,34.71,6.34,25.71,66.2,36.21,Loamy,shallot,Urea,2.46
49.42,33.0,12.74,47.73,6.12,23.39,48.55,32.99,Sandy,rice,KCl,1.92
11.34,47.18,33.16,43.83,7.11,25.69,57.04,26.34,Sandy,rice,Urea,2.26
0.0,41.36,49.04,66.31,5.46,28.9,36.53,109.3,Sandy,maize,Urea,1.47
39.63,21.84,63.32,41.68,8.46,29.74,82.0,49.07,Loamy,tomato,None,2.71
62.26,70.45,54.05,61.77,5.79,33.35,76.29,147.93,Silt,shallot,None,0.45
66.8,29.28,69.57,,7.86,26.68,56.98,258.09,Loamy,rice,None,1.42
84.67,57.85,37.3,52.85,7.46,32.42,51.67,19.37,Sandy,tomato,None,1.79
61.08,14.69,53.98,32.5,7.41,21.3,75.61,105.98,Silt,shallot,SP-36,2.2
89.81,33.64,38.44,35.36,7.32,29.1,83.99,14.65,Loamy,shallot,None,3.87
59.93,45.87,54.91,5.0,6.86,28.36,66.55,59.89,Silt,tomato,None,6.42
3.83,32.54,39.44,29.93,6.43,30.73,66.94,58.57,Sandy,shallot,Urea,4.17
6.97,24.36,20.16,46.54,7.11,28.53,62.66,216.16,Loamy,maize,Urea,0.0
61.61,58.42,40.02,22.38,7.18,22.33,75.23,57.84,Sandy,maize,None,3.4
47.25,33.71,61.41,19.27,4.89,31.83,69.62,30.69,Sandy,tomato,Kapur-Dolomit,4.9
36.6,20.32,45.85,29.29,6.48,35.43,64.96,341.0,Clay,chili,None,2.42
53.37,38.76,29.08,36.78,7.07,24.5,77.37,252.02,Peat,shallot,None,0.0
73.53,15.07,45.2,15.26,,25.88,64.97,15.8,Clay,tomato,Kapur-Dolomit,4.08
47.71,10.38,36.75,48.27,4.9,25.18,73.21,53.05,Loamy,shallot,SP-36,0.34
80.55,33.24,18.5,78.91,6.85,25.83,62.45,121.17,Clay,chili,KCl,0.0
74.38,51.95,,36.05,7.26,22.68,67.58,10.57,Loamy,maize,KCl,1.4
23.14,18.37,78.62,49.69,6.06,26.94,54.82,74.54,Peat,chili,NPK-16-16-16,1.47
,48.29,19.36,65.33,5.33,22.95,72.68,82.94,Peat,tomato,Kapur-Dolomit,0.0
42.14,44.11,38.05,60.82,5.9,44.0,88.28,159.12,Loamy,chili,Organik,1.48
56.25,37.84,51.96,,5.25,28.54,86.11,285.42,Sandy,chili,None,0.0
69.3,39.4,50.09,37.38,6.04,30.63,65.5,100.25,Clay,rice,Kapur-Dolomit,3.63
3.37,0.0,56.37,28.71,5.29,21.92,60.63,19.98,Clay,maize,NPK-16-16-16,2.15
95.53,25.17,12.62,61.82,,27.59,77.02,78.85,Loamy,rice,KCl,1.5
58.24,55.55,80.81,21.44,5.42,26.64,68.5,,Peat,tomato,None,1.57
73.55,41.62,29.68,33.72,7.1,34.01,68.47,85.41,Peat,rice,None,4.28
53.85,29.41,36.78,39.56,7.4,23.55,43.49,50.28,Silt,shallot,None,2.88
115.84,68.68,57.75,43.33,5.89,30.84,60.18,40.55,Clay,chili,None,2.22
54.5,36.29,55.21,29.33,4.97,28.92,51.18,32.8,Loamy,shallot,None,2.92
,54.75,52.64,16.83,4.67,21.14,88.07,301.61,Peat,chili,Kapur-Dolomit,1.18
71.86,43.68,47.09,67.94,6.0,22.89,85.79,5.16,Loamy,tomato,SP-36,0.31
14.83,43.27,30.37,54.86,6.75,29.9,88.27,21.38,Silt,shallot,Urea,0.0
36.26,66.12,66.32,54.32,6.89,27.14,90.53,,Silt,rice,Urea,1.59
95.41,35.05,61.74,33.53,4.91,23.32,74.35,165.67,Clay,chili,None,0.66
56.35,35.86,29.62,48.39,6.31,28.11,69.65,130.14,Sandy,chili,None,0.0
77.79,30.68,27.12,14.94,6.36,30.15,84.35,40.11,Sandy,shallot,KCl,4.46
55.49,39.06,80.19,45.53,8.91,17.58,76.2,93.99,Silt,chili,None,1.03
85.5,38.85,57.0,32.63,5.92,32.31,90.93,195.5,,chili,None,0.91
66.84,19.21,24.21,51.83,6.93,25.07,69.2,85.5,Clay,chili,SP-36,0.0
58.2,15.27,21.66,33.22,4.49,29.78,73.51,4.62,Loamy,chili,Kapur-Dolomit,4.53
66.77,40.12,3.63,33.27,5.5,29.11,76.32,137.52,Clay,rice,KCl,3.29
57.08,56.35,53.85,,6.21,34.48,85.41,241.79,Silt,maize,None,0.0
91.11,25.65,27.58,30.41,7.08,26.2,92.89,130.5,Silt,tomato,KCl,2.14
30.82,42.94,64.21,51.78,7.22,18.23,99.33,109.1,Sandy,maize,Urea,0.0
94.71,48.18,36.99,34.73,,21.83,78.13,115.07,Clay,tomato,Kapur-Dolomit,0.0
33.99,29.66,58.56,62.73,,20.72,61.36,54.88,Peat,chili,Organik,0.0
62.12,26.81,39.97,17.47,5.85,24.35,68.02,28.16,Clay,shallot,None,3.44
46.79,25.39,39.38,42.91,7.74,31.55,75.03,23.73,Sandy,maize,None,2.96
43.99,25.29,46.97,54.94,5.54,23.35,64.33,25.77,Loamy,chili,None,0.4
34.73,45.79,68.31,37.85,7.28,28.13,78.5,8.13,Clay,chili,None,1.76
28.56,8.57,10.3,43.93,,32.57,96.25,198.94,Silt,rice,NPK-16-16-16,1.16
51.95,36.54,46.31,27.5,5.59,21.9,78.39,36.87,Loamy,rice,None,3.39
78.79,0.0,54.92,11.48,7.96,32.88,68.82,83.75,Loamy,maize,SP-36,6.3
102.12,18.03,22.56,12.72,6.69,28.06,37.47,,Silt,chili,SP-36,5.9
30.24,16.5,36.71,63.41,6.0,22.56,71.51,63.25,Clay,maize,NPK-16-16-16,0.2
106.85,63.87,50.9,30.1,7.38,25.49,85.04,4.77,Loamy,chili,None,3.18
103.05,42.38,76.51,38.22,5.8,19.87,68.37,50.8,Sandy,tomato,None,0.83
44.49,33.84,44.19,43.18,5.96,22.12,66.9,,Loamy,maize,None,0.6
152.06,50.99,36.87,57.95,6.51,32.05,84.78,17.1,Sandy,tomato,None,0.63
83.0,35.44,35.32,67.15,6.04,30.55,73.95,65.17,Silt,maize,Organik,0.63
84.17,40.76,50.19,63.56,,27.45,58.89,101.28,Clay,maize,Organik,0.0
52.76,41.26,56.58,,7.16,33.32,75.93,309.11,Loamy,shallot,None,0.0
20.92,42.12,22.29,58.5,6.54,28.65,82.78,1.42,Sandy,maize,Urea,1.38
22.23,44.16,49.21,44.4,,21.41,74.03,65.05,Clay,shallot,Urea,0.0
26.53,57.21,26.33,70.55,5.89,25.42,86.22,115.56,Loamy,tomato,Urea,0.0
47.55,22.41,41.74,66.79,4.1,30.28,57.26,7.77,Sandy,tomato,Kapur-Dolomit,1.08
71.96,21.99,61.08,52.52,6.7,29.83,93.16,26.48,,chili,None,0.86
55.25,0.0,9.09,50.22,4.94,27.86,84.63,48.32,Peat,chili,KCl,0.22
48.05,28.41,50.61,44.69,6.63,32.14,75.7,10.89,Clay,rice,None,3.56
57.18,48.88,55.01,30.76,7.3,35.23,74.88,,Clay,tomato,None,5.62
47.89,12.95,22.95,45.11,5.66,33.43,79.62,98.96,Silt,chili,SP-36,2.77
